,Last Update Posted,count,enrolled
842,"March 23, 2022",1,14
843,"December 10, 2012",1,12
844,"September 27, 2019",1,12
845,"May 21, 2019",1,12
846,"October 5, 2021",1,12
847,"January 5, 2021",1,12
848,"September 23, 2020",1,12
849,"March 18, 2022",1,12
850,"August 3, 2021",1,12
851,"May 2, 2017",1,13
852,"February 23, 2017",1,14
853,"February 24, 2016",1,13
854,"December 5, 2017",1,13
855,"March 3, 2020",1,13
856,"December 22, 2017",1,13
857,"December 22, 2020",1,14
858,"March 8, 2018",1,14
859,"July 1, 2022",1,14
860,"October 17, 2018",1,15
861,"August 2, 2016",1,15
862,"May 18, 2016",1,20
863,"November 30, 2012",1,15
864,"June 13, 2022",1,18
865,"December 30, 2013",1,19
866,"April 12, 2021",1,19
867,"November 15, 2019",1,19
868,"February 28, 2018",1,19
869,"April 28, 2017",1,19
870,"May 14, 2015",1,20
871,"December 30, 2021",1,20
872,"June 20, 2019",1,20
873,"August 26, 2020",1,20
874,"August 20, 2018",1,20
875,"May 4, 2018",1,20
876,"April 12, 2022",1,20
877,"May 27, 2020",1,0
878,"March 23, 2021",1,20
879,"January 4, 2018",1,20
880,"June 26, 2018",1,20
881,"April 4, 2016",1,18
882,"March 7, 2017",1,18
883,"August 16, 2017",1,18
884,"March 24, 2020",1,16
885,"June 19, 2012",1,15
886,"August 11, 2020",1,16
887,"April 17, 2018",1,16
888,"August 9, 2021",1,16
889,"June 10, 2015",1,16
890,"July 1, 2020",1,16
891,"May 11, 2022",1,16
892,"September 17, 2021",1,16
893,"June 30, 2022",1,18
894,"May 17, 2021",1,16
895,"December 7, 2018",1,17
896,"May 10, 2021",1,18
897,"April 13, 2021",1,18
898,"May 18, 2021",1,18
899,"December 16, 2019",1,18
900,"August 10, 2018",1,18
901,"May 2, 2022",1,0
