,NCT Number,count,enrolled
459,NCT00826046,1,0
460,NCT04684602,1,5000
461,NCT05080465,1,700
462,NCT04492501,1,600
463,NCT02032004,1,566
464,NCT03011541,1,500
465,NCT03818737,1,480
466,NCT05354141,1,400
467,NCT00482092,1,330
468,NCT03033277,1,320
469,NCT01573923,1,320
470,NCT01768702,1,315
471,NCT02964143,1,306
472,NCT05497401,1,300
473,NCT04551456,1,300
474,NCT01929434,1,300
475,NCT03918655,1,300
476,NCT01380847,1,300
477,NCT03909139,1,300
478,NCT01873547,1,300
479,NCT00759018,1,0
480,NCT01510431,1,0
481,NCT05531266,1,182
482,NCT03822858,1,0
483,NCT05154851,1,0
484,NCT04855955,1,0
485,NCT04825626,1,0
486,NCT04825613,1,0
487,NCT04798066,1,0
488,NCT04772378,1,0
489,NCT04711811,1,0
490,NCT04681118,1,0
491,NCT04657458,1,0
492,NCT04604288,1,0
493,NCT04514952,1,0
494,NCT04456439,1,0
495,NCT04432545,1,0
496,NCT04366830,1,0
497,NCT04087889,1,0
498,NCT04064983,1,0
499,NCT04064957,1,0
500,NCT04029896,1,0
501,NCT03925649,1,0
502,NCT01920867,1,300
503,NCT04448106,1,300
504,NCT04143048,1,300
505,NCT01541579,1,278
506,NCT04629833,1,210
507,NCT03668171,1,200
508,NCT03279796,1,200
509,NCT04551443,1,200
510,NCT03683953,1,200
511,NCT05081921,1,200
512,NCT04428801,1,200
513,NCT04811651,1,200
514,NCT04689152,1,200
515,NCT01233102,1,200
516,NCT01547091,1,200
517,NCT04971161,1,200
518,NCT02241018,1,200
519,NCT03945487,1,200
520,NCT03209986,1,200
521,NCT05187936,1,200
522,NCT02504437,1,200
523,NCT03562715,1,200
524,NCT00562497,1,192
525,NCT01844063,1,210
526,NCT00877903,1,220
527,NCT04371393,1,223
528,NCT03798028,1,250
529,NCT01220492,1,266
530,NCT03280056,1,263
531,NCT02812121,1,261
532,NCT03990805,1,260
533,NCT00366145,1,260
534,NCT02490020,1,260
535,NCT03529136,1,252
536,NCT04953572,1,252
537,NCT02809781,1,250
538,NCT03580291,1,230
539,NCT04104412,1,242
540,NCT02834858,1,240
541,NCT01728727,1,240
542,NCT05447767,1,240
543,NCT05224960,1,240
544,NCT05121870,1,240
545,NCT02796079,1,240
546,NCT05043610,1,240
547,NCT02985346,1,100
548,NCT02484950,1,100
549,NCT04594850,1,54
550,NCT04366063,1,60
551,NCT01453738,1,60
552,NCT05193877,1,60
553,NCT03552848,1,60
554,NCT02135380,1,60
555,NCT05116761,1,60
556,NCT01393977,1,60
557,NCT02448849,1,60
558,NCT04061746,1,60
559,NCT04590118,1,60
560,NCT00225095,1,60
561,NCT04055415,1,60
562,NCT03392467,1,60
563,NCT03969680,1,60
564,NCT00114452,1,60
565,NCT02941666,1,60
566,NCT03166865,1,60
567,NCT02543073,1,60
568,NCT04992247,1,60
569,NCT01763099,1,60
570,NCT01763086,1,60
571,NCT04544215,1,60
572,NCT01449032,1,60
573,NCT01765660,1,60
574,NCT00683722,1,62
575,NCT02982915,1,62
576,NCT01897987,1,62
577,NCT01576328,1,61
578,NCT04130100,1,60
579,NCT04998461,1,60
580,NCT01223664,1,60
581,NCT00993941,1,60
582,NCT04847739,1,60
583,NCT03268603,1,60
584,NCT01409954,1,60
585,NCT02497443,1,60
586,NCT02062931,1,60
587,NCT02097641,1,60
588,NCT01873625,1,60
589,NCT04003857,1,60
590,NCT04325594,1,60
591,NCT05000593,1,60
592,NCT04371601,1,60
593,NCT03326505,1,60
594,NCT03042572,1,60
595,NCT03237442,1,100
596,NCT02145897,1,60
597,NCT02619877,1,59
598,NCT00644410,1,59
599,NCT03197623,1,58
600,NCT03601416,1,57
601,NCT03424629,1,57
602,NCT02068794,1,57
603,NCT03754465,1,56
604,NCT02997878,1,56
605,NCT04349631,1,56
606,NCT04652908,1,55
607,NCT04348435,1,55
608,NCT04798716,1,55
609,NCT02336230,1,55
610,NCT00702741,1,55
611,NCT04170426,1,54
612,NCT04865107,1,54
613,NCT03183804,1,54
614,NCT04351932,1,54
615,NCT05344157,1,54
616,NCT00790764,1,60
617,NCT04356300,1,60
618,NCT00721045,1,60
619,NCT05433298,1,60
620,NCT03180450,1,60
621,NCT04995081,1,60
622,NCT04212728,1,60
623,NCT03383081,1,60
624,NCT04953663,1,60
625,NCT03337243,1,60
626,NCT00418418,1,60
627,NCT03248466,1,60
628,NCT05276895,1,60
629,NCT01221454,1,60
630,NCT02563340,1,60
631,NCT03788265,1,60
632,NCT05216562,1,60
633,NCT03943940,1,60
634,NCT01716481,1,60
635,NCT03901235,1,60
636,NCT04905836,1,60
637,NCT05167552,1,60
638,NCT01649752,1,60
639,NCT03766217,1,62
