,Primary Completion Date,count,enrolled
586,"February 24, 2020",1,16
587,"August 28, 2018",1,16
588,"November 26, 2021",1,16
589,May 2012,1,15
590,"May 5, 2018",1,14
591,"March 18, 2019",1,15
592,"October 5, 2021",1,15
593,"August 15, 2018",1,15
594,"July 20, 2019",1,15
595,"May 4, 2017",1,15
596,"August 17, 2020",1,15
597,"September 1, 2024",1,15
598,"December 10, 2020",1,15
599,June 2025,1,15
600,NaN,0,0
